Name,Pos,Team,Bye,Games Started
Christian McCaffrey, RB, Carolina Panthers ,Bye 13,7
Alvin Kamara, RB, New Orleans Saints ,Bye 6,13
Derrick Henry, RB, Tennessee Titans ,Bye 13,8
Nick Chubb, RB, Cleveland Browns ,Bye 13,14
Dalvin Cook, RB, Minnesota Vikings ,Bye 7,13
Aaron Jones, RB, Green Bay Packers ,Bye 13,15
Saquon Barkley, RB, New York Giants ,Bye 10,13
Ezekiel Elliott, RB, Dallas Cowboys ,Bye 7,17
Davante Adams, WR, Green Bay Packers ,Bye 13,16
Tyreek Hill, WR, Kansas City Chiefs ,Bye 12,17
Austin Ekeler, RB, Los Angeles Chargers ,Bye 7,16
Calvin Ridley, WR, Atlanta Falcons ,Bye 6,5
Joe Mixon, RB, Cincinnati Bengals ,Bye 10,16
D.K. Metcalf, WR, Seattle Seahawks ,Bye 9,17
Patrick Mahomes, QB, Kansas City Chiefs ,Bye 12,17
A.J. Brown, WR, Tennessee Titans ,Bye 13,13
Travis Kelce, TE, Kansas City Chiefs ,Bye 12,16
Jonathan Taylor, RB, Indianapolis Colts ,Bye 14,17
Clyde Edwards-Helaire, RB, Kansas City Chiefs ,Bye 12,10
Allen Robinson II, WR, Chicago Bears ,Bye 10,12
Robert Woods, WR, Los Angeles Rams ,Bye 11,9
C.D. Lamb, WR, Dallas Cowboys ,Bye 7,16
George Kittle, TE, San Francisco 49ers ,Bye 6,14
Najee Harris, RB, Pittsburgh Steelers ,Bye 7,17
Darren Waller, TE, Las Vegas Raiders ,Bye 8,11
